EQ_id|Name|Eqn|Short_Desc|Variables|EQ_CAT|WIKI_LINK
5|Centripetal Force Equation|F = m * v ^ 2 / r| Centripetal force of object moving in circular path. |['F', 'm', 'v', 'r']|Dynamics|https://en.wikipedia.org/wiki/Centripetal_force
6|Centripetal Acceleration|a = v ^ 2 / r| Find centripetal acceleration of object along circular path at constant velocity |['a', 'v', 'r']|Dynamics|https://en.wikipedia.org/wiki/Circular_motion
8|Kinetic Energy|KE = 1 / 2 * m * v ^ 2| Find kinetic energy of point mass by velocity |['KE', 'm', 'v']|Dynamics|https://en.wikipedia.org/wiki/Kinetic_energy
9|Velocity Equation|V2 ^ 2 = V1 ^ 2 + 2 * a * ( d2 - d1 )| Equation to find final velocity of object undergoing acceleration |['V2', 'V1', 'a', 'd2', 'd1']|Dynamics|None
13|Ohms Law|V = I * R| Ohm's law states that the current through a conductor between two points is directly proportional to the voltage across the two points. |['V', 'I', 'R']|Electricity|None
14|Electrical Power - Voltage, Current|P = V * I|   Ohms law to solve for electrical power from voltage and current.   |['P', 'V', 'I']|Electricity|None
17|Rotational Kinetic Energy|KE = (1/2) * I * w ^ 2| Rotational energy or angular kinetic energy is kinetic energy due to the rotation of an object and is part of its total kinetic energy. Looking at rotational energy separately around an object's axis of rotation, the following dependence on the object's moment of inertia is observed. |['KE', 'I', 'w']|Dynamics|https://en.wikipedia.org/wiki/Rotational_energy
21|Bernoullis Principle|P1 + ρ1 * v1 ^ 2 / 2 + ρ1 * g * h1 = P2 + ρ2 * v2 ^ 2 / 2 + ρ2 * g * h2| In fluid dynamics, Bernoulli's principle states that an increase in the speed of a fluid occurs simultaneously with a decrease in static pressure or a decrease in the fluid's potential energy. |['P1', 'ρ1', 'v1', 'g', 'h1', 'P2', 'ρ2', 'v2', 'h2']|Fluids|https://en.wikipedia.org/wiki/Bernoulli%27s_principle
22|Circumference of Circle|C = π * D| Find circumference of a circle. |['C', 'π', 'D']|Geometry|https://en.wikipedia.org/wiki/Circumference
23|Pendulum Equation of motion|T = 2 * π * ( l / g ) ^ .5| Simple pendulum time to complete full period based off gravity and length. |['T', 'π', 'l', 'g']|Dynamics|https://en.wikipedia.org/wiki/Pendulum
25|Density|ρ = m / V| The density of a substance is its mass per unit volume. |['ρ', 'm', 'V']|Fluids|https://en.wikipedia.org/wiki/Density
26|Drag Force| Fd = ( 1 / 2 ) * ρ * v ^ 2 * Cd * A| In fluid dynamics, drag is a force acting opposite to the relative motion of any object moving with respect to a surrounding fluid. This can exist between two fluid layers or a fluid and a solid surface. |['Fd', 'ρ', 'v', 'Cd', 'A']|Fluids|https://en.wikipedia.org/wiki/Drag_(physics)
27|Buoyancy Force|Fb = - ρ * g * V| Buoyancy or up thrust, is an upward force exerted by a fluid that opposes the weight of a partially or fully immersed object. |['Fb', 'ρ', 'g', 'V']|Fluids|https://en.wikipedia.org/wiki/Buoyancy
28|Area of a circle|A = π * r ^ 2| In geometry, the area enclosed by a circle of radius r is πr2. Here the Greek letter π represents the constant ratio of the circumference of any circle to its diameter, approximately equal to 3.1416. |['A', 'π', 'r']|Geometry|https://en.wikipedia.org/wiki/Area_of_a_circle
30|Electrical Conductance|G = I / V|Electrical conductance measures the ease with which an electric current passes.|['G', 'I', 'V']|Electricity|https://en.wikipedia.org/wiki/Electrical_resistance_and_conductance
31|Potential Energy|PE = m * g * h|Potential energy of an object due to it's mass, gravity, and distance relative to ground.|['PE', 'm', 'g', 'h']|Dynamics|https://en.wikipedia.org/wiki/Potential_energy
32|EOM 1|Vf = a * t + Vo|Equation of motion to solve for final velocity under constant acceleration.|['Vf', 'a', 't', 'Vo']|Dynamics|https://en.wikipedia.org/wiki/Equations_of_motion
33|Normal Stress|σ = F / A|Stress experienced throughout a bar in tension or compression along it's axis.|['σ', 'F', 'A']|Dynamics|https://en.wikipedia.org/wiki/Stress_(mechanics)
34|Ideal Gas Law|P * v = n * R * T|The ideal gas law is used to determine the state of a hypothetical ideal gas.|['P', 'v', 'n', 'R', 'T']|Fluids|https://en.wikipedia.org/wiki/Ideal_gas_law
35|Newtons Universal Gravitation|F = G * m1 * m2 / r ^ 2|Newton's law of universal gravitation is usually stated as that every particle attracts every other particle in the universe with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between their centers.|['F', 'G', 'm1', 'm2', 'r']|Dynamics|https://en.wikipedia.org/wiki/Newton%27s_law_of_universal_gravitation
36|Area of a trapezoid|A = .5 * ( b1 + b2 ) / h|In English outside North America, a convex quadrilateral in Euclidean geometry, with at least one pair of parallel sides, is referred to as a trapezium; in American and Canadian English this is usually referred to as a trapezoid|['A', 'b1', 'b2', 'h']|Geometry|https://en.wikipedia.org/wiki/Trapezoid
